               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 156,            0.014309,           0.0061651,                   0,             0.99986,                   1,               0.995,             0.83721,           0.0087431,           0.0046676,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.013348,            0.006217,                   0,             0.99983,                   1,               0.995,             0.84169,            0.008448,           0.0046584,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.013457,           0.0057327,                   0,             0.99988,                   1,               0.995,             0.84277,           0.0084233,           0.0046161,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.013673,           0.0057727,                   0,             0.99984,                   1,               0.995,             0.84129,           0.0086866,           0.0046715,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.012976,           0.0059625,                   0,             0.99985,                   1,               0.995,             0.84601,           0.0086793,           0.0046016,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.013561,           0.0057144,                   0,             0.99978,                   1,               0.995,             0.83665,           0.0086904,           0.0046601,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.013617,           0.0060191,                   0,             0.99988,                   1,               0.995,             0.82816,           0.0092323,           0.0048892,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.013404,           0.0056336,                   0,             0.99988,                   1,               0.995,             0.84381,           0.0085414,            0.004617,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.012857,            0.005731,                   0,             0.99985,                   1,               0.995,             0.83758,           0.0086123,           0.0047524,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.013415,           0.0055822,                   0,             0.99985,                   1,               0.995,             0.83972,           0.0085288,           0.0045927,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.012844,           0.0057671,                   0,             0.99983,                   1,               0.995,             0.84394,           0.0085385,           0.0046213,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.013525,           0.0060763,                   0,             0.99989,                   1,               0.995,             0.84088,           0.0084827,           0.0046616,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.012747,           0.0057174,                   0,             0.99989,                   1,               0.995,             0.84193,           0.0085658,            0.004634,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.014103,           0.0058808,                   0,             0.99985,                   1,               0.995,             0.84482,           0.0084524,           0.0046539,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.014468,           0.0057341,                   0,             0.99988,                   1,               0.995,             0.84441,           0.0084324,            0.004614,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.013401,            0.005624,                   0,             0.99985,                   1,               0.995,             0.84302,           0.0083866,           0.0046321,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.013644,           0.0062226,                   0,             0.99985,                   1,               0.995,             0.85017,           0.0081919,           0.0045389,                   0,            0.004357,            0.004357,            0.004357
